Accession_ID	GO_Count	BP_GO_IDs	BP_GO_Names	MF_GO_IDs	MF_GO_Names	CC_GO_IDs	CC_GO_Names
Dcitr02g0221011	6	GO:0055114	"oxidation-reduction process"	GO:0051537;GO:0009055;GO:0016491;GO:0046872;GO:0051536	"2 iron, 2 sulfur cluster binding";"electron transfer activity";"oxidoreductase activity";"metal ion binding";"iron-sulfur cluster binding"		
Dcitr10g0676011	2	GO:0005975	"carbohydrate metabolic process"	GO:0004553	"hydrolase activity, hydrolyzing O-glycosyl compounds"		
Dcitr09g0296011	7	GO:0006730;GO:0055114;GO:0009258	"one-carbon metabolic process";"oxidation-reduction process";"10-formyltetrahydrofolate catabolic process"	GO:0016620;GO:0016155;GO:0016491	"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor";"formyltetrahydrofolate dehydrogenase activity";"oxidoreductase activity"	GO:0005737	"cytoplasm"
Dcitr03g1876011	3			GO:0016787;GO:0046872;GO:0003676	"hydrolase activity";"metal ion binding";"nucleic acid binding"		
Dcitr02g0944011	3			GO:0003676;GO:0004535	"nucleic acid binding";"poly(A)-specific ribonuclease activity"	GO:0030014	"CCR4-NOT complex"
Dcitr00g1097011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr12g0814011	2			GO:0005524;GO:0016887	"ATP binding";"ATPase activity"		
Dcitr00g1287011	2	GO:0000422;GO:0000045	"autophagy of mitochondrion";"autophagosome assembly"				
Dcitr07g0754011	3	GO:0006221;GO:0006241	"pyrimidine nucleotide biosynthetic process";"CTP biosynthetic process"	GO:0003883	"CTP synthase activity"		
Dcitr13g0572012	5	GO:0055114	"oxidation-reduction process"	GO:0016491;GO:0050660;GO:0071949;GO:0003824	"oxidoreductase activity";"flavin adenine dinucleotide binding";"FAD binding";"catalytic activity"		
Dcitr11g0967011	5	GO:1901642;GO:0015858	"nucleoside transmembrane transport";"nucleoside transport"	GO:0005337	"nucleoside transmembrane transporter activity"	GO:0005887;GO:0016021	"integral component of plasma membrane";"integral component of membrane"
Dcitr05g0719011	6	GO:0030950;GO:0090251;GO:0042249	"establishment or maintenance of actin cytoskeleton polarity";"protein localization involved in establishment of planar polarity";"establishment of planar polarity of embryonic epithelium"	GO:0051015;GO:0003779	"actin filament binding";"actin binding"	GO:0005912	"adherens junction"
Dcitr06g0639011	6	GO:0051603;GO:0006511	"proteolysis involved in cellular protein catabolic process";"ubiquitin-dependent protein catabolic process"	GO:0004175;GO:0004298	"endopeptidase activity";"threonine-type endopeptidase activity"	GO:0005839;GO:0019773	"proteasome core complex";"proteasome core complex, alpha-subunit complex"
Dcitr05g1356011	4	GO:0006351	"transcription, DNA-templated"	GO:0032549;GO:0003899;GO:0003677	"ribonucleoside binding";"DNA-directed 5'-3' RNA polymerase activity";"DNA binding"		
Dcitr03g1323011	2	GO:0000398	"mRNA splicing, via spliceosome"			GO:0005681	"spliceosomal complex"
Dcitr09g0803011	1	GO:0046907	"intracellular transport"				
Dcitr08g0271011	4	GO:0055114	"oxidation-reduction process"	GO:0005506;GO:0016705;GO:0020037	"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"heme binding"		
Dcitr00g0285011	2	GO:0006656	"phosphatidylcholine biosynthetic process"	GO:0008757	"S-adenosylmethionine-dependent methyltransferase activity"		
Dcitr03g0522013	3	GO:0006048	"UDP-N-acetylglucosamine biosynthetic process"	GO:0008080;GO:0004343	"N-acetyltransferase activity";"glucosamine 6-phosphate N-acetyltransferase activity"		
Dcitr03g1312011	2	GO:0043087;GO:0007165	"regulation of GTPase activity";"signal transduction"				
Dcitr08g0652013	1			GO:0016491	"oxidoreductase activity"		
Dcitr01g1448011	1			GO:0016491	"oxidoreductase activity"		
Dcitr04g1389011	3	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016021	"integral component of membrane"
Dcitr02g1319012	3	GO:0015031	"protein transport"			GO:0016021;GO:0005789	"integral component of membrane";"endoplasmic reticulum membrane"
Dcitr03g0565011	6	GO:0007017	"microtubule-based process"	GO:0016746;GO:0003924;GO:0005200;GO:0005525	"transferase activity, transferring acyl groups";"GTPase activity";"structural constituent of cytoskeleton";"GTP binding"	GO:0005874	"microtubule"
Dcitr02g0600011	3	GO:0006412	"translation"	GO:0003735	"structural constituent of ribosome"	GO:0005840	"ribosome"
Dcitr06g0528011	2	GO:0006508	"proteolysis"	GO:0008234	"cysteine-type peptidase activity"		
Dcitr07g0442011	2			GO:0016791;GO:0003824	"phosphatase activity";"catalytic activity"		
Dcitr05g1220011	1			GO:0046982	"protein heterodimerization activity"		
Dcitr01g1214015	1			GO:0003993	"acid phosphatase activity"		
Dcitr00g0995011	2			GO:0016747;GO:0008080	"transferase activity, transferring acyl groups other than amino-acyl groups";"N-acetyltransferase activity"		
Dcitr13g0709012	2	GO:0008299	"isoprenoid biosynthetic process"	GO:0016765	"transferase activity, transferring alkyl or aryl (other than methyl) groups"		
Dcitr03g1351011	1					GO:0016020	"membrane"
Dcitr10g0623011	2	GO:0000338	"protein deneddylation"			GO:0008180	"COP9 signalosome"
Dcitr12g0438011	1					GO:0005669	"transcription factor TFIID complex"
Dcitr05g0815015	2	GO:0035556	"intracellular signal transduction"	GO:0005085	"guanyl-nucleotide exchange factor activity"		
Dcitr05g0549011	3	GO:0000278	"mitotic cell cycle"			GO:0005634;GO:0000775	"nucleus";"chromosome, centromeric region"
Dcitr06g1364011	1	GO:0032006	"regulation of TOR signaling"				
Dcitr05g1287011	1					GO:0016020	"membrane"
Dcitr03g0449011	6	GO:0006412;GO:0016579;GO:0006511	"translation";"protein deubiquitination";"ubiquitin-dependent protein catabolic process"	GO:0003735;GO:0036459	"structural constituent of ribosome";"thiol-dependent ubiquitinyl hydrolase activity"	GO:0005840	"ribosome"
Dcitr02g0114011	2	GO:0006886	"intracellular protein transport"	GO:0008536	"Ran GTPase binding"		
Dcitr03g0480011	1			GO:0003676	"nucleic acid binding"		
Dcitr09g0780011	1			GO:0003676	"nucleic acid binding"		
Dcitr04g1599011	1	GO:0045454	"cell redox homeostasis"				
Dcitr00g0511011	4	GO:0006412	"translation"	GO:0003735;GO:0019843	"structural constituent of ribosome";"rRNA binding"	GO:0005840	"ribosome"
Dcitr11g0612011	4	GO:0016311;GO:0006470	"dephosphorylation";"protein dephosphorylation"	GO:0008138;GO:0016791	"protein tyrosine/serine/threonine phosphatase activity";"phosphatase activity"		
Dcitr11g0650011	3	GO:0055114	"oxidation-reduction process"	GO:0016702;GO:0005506	"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"iron ion binding"		
Dcitr01g1489011	2			GO:0003676;GO:0008270	"nucleic acid binding";"zinc ion binding"		
Dcitr10g1072012	4	GO:0006412	"translation"	GO:0003735;GO:0003723	"structural constituent of ribosome";"RNA binding"	GO:0005840	"ribosome"
Dcitr01g2062011	2			GO:0005524	"ATP binding"	GO:0016021	"integral component of membrane"
Dcitr01g0789011	2			GO:0003796;GO:0052689	"lysozyme activity";"carboxylic ester hydrolase activity"		
Dcitr03g1058011	1			GO:0008270	"zinc ion binding"		
Dcitr00g0892011	1			GO:0003676	"nucleic acid binding"		
Dcitr04g1445011	4	GO:0042779;GO:0006351	"tRNA 3'-trailer cleavage";"transcription, DNA-templated"	GO:0008270;GO:0003676	"zinc ion binding";"nucleic acid binding"		
Dcitr07g0318011	1	GO:0019991	"septate junction assembly"				
Dcitr01g1958011	1			GO:0003676	"nucleic acid binding"		
Dcitr11g0285012	4	GO:0006629;GO:0006488	"lipid metabolic process";"dolichol-linked oligosaccharide biosynthetic process"	GO:0016627;GO:0003865	"oxidoreductase activity, acting on the CH-CH group of donors";"3-oxo-5-alpha-steroid 4-dehydrogenase activity"		
Dcitr04g0784011	3	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004672	"ATP binding";"protein kinase activity"		
Dcitr13g0653012	1			GO:0016491	"oxidoreductase activity"		
Dcitr09g0213011	1			GO:0003676	"nucleic acid binding"		
Dcitr02g0328012	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr01g1232011	2			GO:0016409;GO:0015095	"palmitoyltransferase activity";"magnesium ion transmembrane transporter activity"		
Dcitr01g1176011	1			GO:0003676	"nucleic acid binding"		
Dcitr12g0361011	1					GO:0016021	"integral component of membrane"
Dcitr00g0428011	3	GO:0006468	"protein phosphorylation"	GO:0004672;GO:0005524	"protein kinase activity";"ATP binding"		
Dcitr05g0494011	3	GO:0006357	"regulation of transcription by RNA polymerase II"			GO:0016592;GO:0005634	"mediator complex";"nucleus"
Dcitr08g1181011	3	GO:0055085	"transmembrane transport"	GO:0015267	"channel activity"	GO:0016020	"membrane"
Dcitr07g1236014	3	GO:0006508	"proteolysis"	GO:0008237;GO:0004222	"metallopeptidase activity";"metalloendopeptidase activity"		
Dcitr00g0372011	2	GO:0006744	"ubiquinone biosynthetic process"			GO:0005743	"mitochondrial inner membrane"
Dcitr00g0518011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr10g0905012	1	GO:0006633	"fatty acid biosynthetic process"				
Dcitr02g0193011	4	GO:0050790;GO:0006508	"regulation of catalytic activity";"proteolysis"	GO:0008234;GO:0004197	"cysteine-type peptidase activity";"cysteine-type endopeptidase activity"		
Dcitr02g0247011	4	GO:0016310	"phosphorylation"	GO:0005524;GO:0016772;GO:0016301	"ATP binding";"transferase activity, transferring phosphorus-containing groups";"kinase activity"		
Dcitr01g1967011	1	GO:0007064	"mitotic sister chromatid cohesion"				
Dcitr03g1967011	2	GO:0018216	"peptidyl-arginine methylation"	GO:0016274	"protein-arginine N-methyltransferase activity"		
Dcitr01g1932011	3	GO:0015074	"DNA integration"	GO:0008270;GO:0003676	"zinc ion binding";"nucleic acid binding"		
Dcitr12g0994011	1			GO:0003676	"nucleic acid binding"		
Dcitr07g0929012	2			GO:0050662;GO:0003824	"coenzyme binding";"catalytic activity"		
Dcitr03g0973011	1	GO:0006364	"rRNA processing"				
Dcitr10g1109011	3	GO:0006887	"exocytosis"	GO:0017137	"Rab GTPase binding"	GO:0016020	"membrane"
Dcitr02g0379011	2	GO:0018279	"protein N-linked glycosylation via asparagine"			GO:0005789	"endoplasmic reticulum membrane"
Dcitr01g1471011	5	GO:0007155;GO:0007156	"cell adhesion";"homophilic cell adhesion via plasma membrane adhesion molecules"	GO:0005509	"calcium ion binding"	GO:0016020;GO:0005886	"membrane";"plasma membrane"
Dcitr11g0715011	5	GO:0055114	"oxidation-reduction process"	GO:0020037;GO:0004497;GO:0005506;GO:0016705	"heme binding";"monooxygenase activity";"iron ion binding";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"		
Dcitr08g0912011	1			GO:0008080	"N-acetyltransferase activity"		
Dcitr02g2005011	2	GO:0006401	"RNA catabolic process"			GO:0055087	"Ski complex"
Dcitr02g0652011	1					GO:0042025	"host cell nucleus"
Dcitr13g0220011	1					GO:0016020	"membrane"
Dcitr03g0258011	1			GO:0005509	"calcium ion binding"		
Dcitr09g0614011	2	GO:0007076	"mitotic chromosome condensation"			GO:0000796	"condensin complex"
Dcitr08g1010012	7	GO:0007169;GO:0006468	"transmembrane receptor protein tyrosine kinase signaling pathway";"protein phosphorylation"	GO:0005524;GO:0004714;GO:0004713;GO:0004672	"ATP binding";"transmembrane receptor protein tyrosine kinase activity";"protein tyrosine kinase activity";"protein kinase activity"	GO:0016020	"membrane"
Dcitr03g1619011	3	GO:0000387;GO:0006396	"spliceosomal snRNP assembly";"RNA processing"			GO:0005681	"spliceosomal complex"
Dcitr01g1337011	1	GO:0045454	"cell redox homeostasis"				
Dcitr04g0874011	2	GO:0000398	"mRNA splicing, via spliceosome"			GO:0005681	"spliceosomal complex"
Dcitr00g0697012	5	GO:0006508	"proteolysis"	GO:0004222;GO:0008237;GO:0008270	"metalloendopeptidase activity";"metallopeptidase activity";"zinc ion binding"	GO:0031012	"extracellular matrix"
Dcitr12g0841011	1			GO:0003676	"nucleic acid binding"		
Dcitr13g0326011	6	GO:0006811;GO:0006813;GO:0055085	"ion transport";"potassium ion transport";"transmembrane transport"	GO:0005249;GO:0005216	"voltage-gated potassium channel activity";"ion channel activity"	GO:0016020	"membrane"
Dcitr05g0815011	2	GO:0035556	"intracellular signal transduction"	GO:0005085	"guanyl-nucleotide exchange factor activity"		
Dcitr06g1278011	2			GO:0003676;GO:0003729	"nucleic acid binding";"mRNA binding"		
Dcitr03g2016011	1			GO:0008017	"microtubule binding"		
Dcitr01g1110013	2			GO:0017110;GO:0005509	"nucleoside-diphosphatase activity";"calcium ion binding"		
Dcitr12g0895011	1			GO:0003676	"nucleic acid binding"		
Dcitr05g1028012	1			GO:0016316	"phosphatidylinositol-3,4-bisphosphate 4-phosphatase activity"		
Dcitr13g0466011	1			GO:0005509	"calcium ion binding"		
Dcitr08g0911011	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0003677;GO:0043565	"DNA binding";"sequence-specific DNA binding"		
Dcitr00g0756011	2	GO:0007160	"cell-matrix adhesion"	GO:0005509	"calcium ion binding"		
Dcitr13g0239011	2	GO:0055114	"oxidation-reduction process"	GO:0016491	"oxidoreductase activity"		
Dcitr09g0669011	2	GO:0016567	"protein ubiquitination"	GO:0004842	"ubiquitin-protein transferase activity"		
Dcitr01g2184011	4	GO:0007018	"microtubule-based movement"	GO:0003777;GO:0008017;GO:0005524	"microtubule motor activity";"microtubule binding";"ATP binding"		
Dcitr00g1169011	1	GO:0000290	"deadenylation-dependent decapping of nuclear-transcribed mRNA"				
Dcitr07g0760011	2	GO:0031929	"TOR signaling"			GO:0031931	"TORC1 complex"
Dcitr04g1000012	2	GO:0006508	"proteolysis"	GO:0008236	"serine-type peptidase activity"		
Dcitr02g1128011	1			GO:0008887	"glycerate kinase activity"		
Dcitr02g1155011	1			GO:0080019	"fatty-acyl-CoA reductase (alcohol-forming) activity"		
Dcitr01g0338011	2	GO:0023041	"neuronal signal transduction"			GO:0030867	"rough endoplasmic reticulum membrane"
Dcitr01g0559011	4	GO:0055085	"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr10g0127011	5	GO:0009448	"gamma-aminobutyric acid metabolic process"	GO:0008483;GO:0003867;GO:0003824;GO:0030170	"transaminase activity";"4-aminobutyrate transaminase activity";"catalytic activity";"pyridoxal phosphate binding"		
Dcitr02g0161011	3	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004672	"ATP binding";"protein kinase activity"		
Dcitr01g0104011	5	GO:0006468	"protein phosphorylation"	GO:0004674;GO:0004672;GO:0005524;GO:0004692	"protein serine/threonine kinase activity";"protein kinase activity";"ATP binding";"cGMP-dependent protein kinase activity"		
Dcitr01g1134011	3	GO:0000398;GO:0000956	"mRNA splicing, via spliceosome";"nuclear-transcribed mRNA catabolic process"	GO:0003723	"RNA binding"		
Dcitr12g0826011	2	GO:0015074	"DNA integration"	GO:0003676	"nucleic acid binding"		
Dcitr01g1117011	1			GO:0003676	"nucleic acid binding"		
Dcitr13g0673011	2	GO:0006260	"DNA replication"			GO:0005634	"nucleus"
Dcitr03g0311011	1			GO:0003676	"nucleic acid binding"		
Dcitr08g1265011	4	GO:0046854;GO:0046855;GO:0006915	"phosphatidylinositol phosphorylation";"inositol phosphate dephosphorylation";"apoptotic process"	GO:0008934	"inositol monophosphate 1-phosphatase activity"		
Dcitr06g0488013	1			GO:0016491	"oxidoreductase activity"		
Dcitr05g1330011	3	GO:0006662;GO:0045454	"glycerol ether metabolic process";"cell redox homeostasis"	GO:0015035	"protein disulfide oxidoreductase activity"		
Dcitr07g0666011	2	GO:0002949	"tRNA threonylcarbamoyladenosine modification"			GO:0000408	"EKC/KEOPS complex"
Dcitr07g1219011	1			GO:0003676	"nucleic acid binding"		
Dcitr09g0353012	1			GO:0003824	"catalytic activity"		
Dcitr06g0347011	4	GO:0006811;GO:0055085	"ion transport";"transmembrane transport"	GO:0022857	"transmembrane transporter activity"	GO:0016020	"membrane"
Dcitr12g0327011	5	GO:0016192;GO:0017157	"vesicle-mediated transport";"regulation of exocytosis"	GO:0000149	"SNARE binding"	GO:0016020;GO:0016021	"membrane";"integral component of membrane"
Dcitr08g0943011	4	GO:0006468	"protein phosphorylation"	GO:0005524;GO:0004674;GO:0004672	"ATP binding";"protein serine/threonine kinase activity";"protein kinase activity"		
Dcitr03g0900011	3			GO:0016504;GO:0070628;GO:0070577	"peptidase activator activity";"proteasome binding";"lysine-acetylated histone binding"		
Dcitr09g0904011	6	GO:0035556;GO:0007205;GO:0007165	"intracellular signal transduction";"protein kinase C-activating G protein-coupled receptor signaling pathway";"signal transduction"	GO:0003951;GO:0004143;GO:0016301	"NAD+ kinase activity";"diacylglycerol kinase activity";"kinase activity"		
Dcitr11g0132011	9	GO:0006814;GO:0055085;GO:0006811	"sodium ion transport";"transmembrane transport";"ion transport"	GO:0005261;GO:0005216;GO:0005248	"cation channel activity";"ion channel activity";"voltage-gated sodium channel activity"	GO:0016020;GO:0005886;GO:0001518	"membrane";"plasma membrane";"voltage-gated sodium channel complex"
Dcitr03g0603013	1	GO:0007165	"signal transduction"				
Dcitr10g0913011	2	GO:0006508	"proteolysis"	GO:0004252	"serine-type endopeptidase activity"		
Dcitr06g1422012	3	GO:0006355	"regulation of transcription, DNA-templated"	GO:0043565;GO:0003700	"sequence-specific DNA binding";"DNA-binding transcription factor activity"		
Dcitr03g1615011	2	GO:0006464	"cellular protein modification process"	GO:0005524	"ATP binding"		
Dcitr05g0801012	1			GO:0019901	"protein kinase binding"		
Dcitr08g0509011	2			GO:0008168;GO:0003682	"methyltransferase activity";"chromatin binding"		
Dcitr10g0267011	4	GO:0006468;GO:0035556	"protein phosphorylation";"intracellular signal transduction"	GO:0005524;GO:0004672	"ATP binding";"protein kinase activity"		
Dcitr08g0348011	5	GO:0007275;GO:0006355	"multicellular organism development";"regulation of transcription, DNA-templated"	GO:0003677;GO:0043565	"DNA binding";"sequence-specific DNA binding"	GO:0005634	"nucleus"
